User,Date,Time in Locked Mode,,,,,,,
,31-Mar-13,19.98666667,,,,,,,
,31-May-13,1.386666667,,,,,,,
11,1-Apr-13,6.205555556,,,,,,,
,1-Jun-13,1.154444444,,,,,,,
,1-May-13,16.73972222,,,,,,,
,2-Apr-13,13.37861111,,,,,,,
,2-May-13,15.8075,,,,,,,
,3-Apr-13,15.36222222,,,,,,,
,3-May-13,20.07638889,,,,,,,
,4-Apr-13,15.11805556,,,,,,,
,4-May-13,15.45027778,,,,,,,
,5-Apr-13,7.466666667,,,,,,,
,5-May-13,10.69138889,,,,,,,
,6-Apr-13,13.69861111,,,,,,,
,6-May-13,13.21444444,,,,,,,
,7-Apr-13,10.09916667,,,,,,,
,7-May-13,11.03555556,,,,,,,
,8-Apr-13,7.150277778,,,,,,,
,8-May-13,17.26972222,,,,,,,
,9-Apr-13,13.73916667,,,,,,,
,9-May-13,12.10444444,,,,,,,
,10-Apr-13,10.75027778,,,,,,,
,10-May-13,10.70222222,,,,,,,
,11-Apr-13,13.88833333,,,,,,,
,11-May-13,15.18277778,,,,,,,
,12-Apr-13,11.87194444,,,,,,,
,12-May-13,8.896666667,,,,,,,
,13-Apr-13,11.83777778,,,,,,,
,13-May-13,13.96861111,,,,,,,
,14-Apr-13,7.873055556,,,,,,,
,14-May-13,11.47805556,,,,,,,
,15-Apr-13,11.25583333,,,,,,,
,15-May-13,17.25388889,,,,,,,
,16-Apr-13,11.09861111,,,,,,,
,16-May-13,13.20583333,,,,,,,
,17-Apr-13,11.87805556,,,,,,,
,17-May-13,15.43666667,,,,,,,
,18-Apr-13,14.93416667,,,,,,,
,18-May-13,16.71722222,,,,,,,
,19-Apr-13,17.86916667,,,,,,,
,19-May-13,17.25833333,,,,,,,
,20-Apr-13,14.49527778,,,,,,,
,20-May-13,10.82861111,,,,,,,
,21-Apr-13,15.215,,,,,,,
,21-May-13,13.58722222,,,,,,,
,22-Apr-13,21.64,,,,,,,
,22-May-13,8.2675,,,,,,,
,23-Apr-13,12.95694444,,,,,,,
,23-May-13,20.76222222,,,,,,,
,24-Apr-13,8.569722222,,,,,,,
,24-May-13,14.78916667,,,,,,,
,25-Apr-13,12.97305556,,,,,,,
,25-May-13,16.74361111,,,,,,,
,26-Apr-13,13.4425,,,,,,,
,26-May-13,15.29944444,,,,,,,
,27-Apr-13,11.74583333,,,,,,,
,27-Mar-13,18.09611111,,,,,,,
,27-May-13,14.58888889,,,,,,,
,28-Apr-13,26.23583333,,,,,,,
,28-Mar-13,15.40611111,,,,,,,
,28-May-13,17.08111111,,,,,,,
,29-Apr-13,17.30416667,,,,,,,
,29-Mar-13,10.30444444,,,,,,,
,29-May-13,11.55222222,,,,,,,
,30-Apr-13,10.15333333,,,,,,,
,30-Mar-13,11.23138889,,,,,,,
,30-May-13,5.075277778,,,,,,,
,31-Mar-13,14.12138889,,,,,,,
,31-May-13,2.088333333,,,,,,,
12,1-Apr-13,6.183055556,,,,,,,
,1-May-13,13.20222222,,,,,,,
,2-Apr-13,14.81166667,,,,,,,
,3-Apr-13,19.54166667,,,,,,,
,4-Apr-13,16.93944444,,,,,,,
,4-May-13,1.009166667,,,,,,,
,5-Apr-13,16.74333333,,,,,,,
,5-May-13,2.095555556,,,,,,,
,6-Apr-13,21.72,,,,,,,
,6-May-13,10.79194444,,,,,,,
,7-Apr-13,8.018611111,,,,,,,
,8-Apr-13,13.29361111,,,,,,,
,9-Apr-13,20.01833333,,,,,,,
,10-Apr-13,9.466944444,,,,,,,
,10-May-13,4.896111111,,,,,,,
,11-Apr-13,17.20277778,,,,,,,
,11-May-13,3.791944444,,,,,,,
,12-Apr-13,14.86638889,,,,,,,
,12-May-13,2.575833333,,,,,,,
,13-Apr-13,1.167777778,,,,,,,
,13-May-13,10.43444444,,,,,,,
,14-Apr-13,14.47083333,,,,,,,
,14-May-13,7.771388889,,,,,,,
,15-Apr-13,12.60388889,,,,,,,
,15-May-13,7.61,,,,,,,
,16-Apr-13,4.098333333,,,,,,,
,16-May-13,9.271666667,,,,,,,
,17-Apr-13,12.47666667,,,,,,,
,17-May-13,10.75944444,,,,,,,
